"seed","method","status","assignment_mode","uses_alignment","uses_position","fit_runtime_sec","match_runtime_sec","matcher_retained_mb","hits1","matched_hits1","mrr","coverage","candidate_edges","candidate_cap","dense_pairwise_allocated","correspondence_read_during_fit_or_match","error"
7216,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.384999999999998,0.241999999999997,0.0185470581054688,0.04,0.0655737704918033,0.04,0.61,9600,32,FALSE,FALSE,NA
7216,"rapid_multiview_one_to_one","ok","one_to_one",TRUE,TRUE,0.384999999999998,0.243000000000002,0.0189666748046875,0.103333333333333,0.136563876651982,0.103333333333333,0.756666666666667,9600,32,FALSE,FALSE,NA
7216,"rapid_multiview_independent","ok","independent",TRUE,TRUE,0.384999999999998,0.245000000000005,0.0199432373046875,0.123333333333333,0.123333333333333,0.123333333333333,1,9600,32,FALSE,FALSE,NA
7216,"rapid_ma_semisup_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.384999999999998,NA,NA,0.00666666666666667,0.00666666666666667,0.039300220578872,1,30000,100,FALSE,FALSE,NA
7216,"lema_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.330999999999996,NA,NA,0,0,0.00260384835182611,0.04,30000,100,FALSE,TRUE,NA
7216,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0229999999999961,NA,NA,0.00333333333333333,0.00333333333333333,0.0158286142917963,1,30000,100,FALSE,FALSE,NA
7216,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0349999999999966,NA,NA,0.00666666666666667,0.00666666666666667,0.0256770083103262,1,30000,100,FALSE,FALSE,NA
7216,"token_ot_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0479999999999947,NA,NA,0.01,0.01,0.0462675075532839,1,30000,100,FALSE,FALSE,NA
7216,"position_knn_diagnostic","ok","independent ranked retrieval",FALSE,TRUE,0,0.00199999999999534,NA,0.17,0.17,0.341857263108417,1,30000,100,FALSE,FALSE,NA
7217,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.341000000000001,0.238,0.0185623168945312,0.04,0.0641711229946524,0.04,0.623333333333333,9600,32,FALSE,FALSE,NA
7217,"rapid_multiview_one_to_one","ok","one_to_one",TRUE,TRUE,0.341000000000001,0.238,0.0191192626953125,0.11,0.123595505617978,0.11,0.89,9600,32,FALSE,FALSE,NA
7217,"rapid_multiview_independent","ok","independent",TRUE,TRUE,0.341000000000001,0.236000000000004,0.0198822021484375,0.103333333333333,0.103333333333333,0.103333333333333,1,9600,32,FALSE,FALSE,NA
7217,"rapid_ma_semisup_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.341000000000001,NA,NA,0.0266666666666667,0.0266666666666667,0.0820247486953389,1,30000,100,FALSE,FALSE,NA
7217,"lema_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.429000000000002,NA,NA,0,0,0.00275296524175835,0.04,30000,100,FALSE,TRUE,NA
7217,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0230000000000032,NA,NA,0.00333333333333333,0.00333333333333333,0.0143118748141181,1,30000,100,FALSE,FALSE,NA
7217,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0309999999999988,NA,NA,0.00333333333333333,0.00333333333333333,0.0258162752518535,1,30000,100,FALSE,FALSE,NA
7217,"token_ot_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0480000000000018,NA,NA,0.00333333333333333,0.00333333333333333,0.0151317247990417,1,30000,100,FALSE,FALSE,NA
7217,"position_knn_diagnostic","ok","independent ranked retrieval",FALSE,TRUE,0,0.00199999999999534,NA,0.146666666666667,0.146666666666667,0.301420062986229,1,30000,100,FALSE,FALSE,NA
7218,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.350999999999999,0.234000000000002,0.01861572265625,0.0333333333333333,0.0490196078431373,0.0333333333333333,0.68,9600,32,FALSE,FALSE,NA
7218,"rapid_multiview_one_to_one","ok","one_to_one",TRUE,TRUE,0.350999999999999,0.241,0.0191726684570312,0.143333333333333,0.156363636363636,0.143333333333333,0.916666666666667,9600,32,FALSE,FALSE,NA
7218,"rapid_multiview_independent","ok","independent",TRUE,TRUE,0.350999999999999,0.243000000000002,0.0198287963867188,0.136666666666667,0.136666666666667,0.136666666666667,1,9600,32,FALSE,FALSE,NA
7218,"rapid_ma_semisup_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.350999999999999,NA,NA,0.01,0.01,0.0500604907676222,1,30000,100,FALSE,FALSE,NA
7218,"lema_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.433999999999997,NA,NA,0,0,0.00318072061623228,0.04,30000,100,FALSE,TRUE,NA
